Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Runtime,GB/s,GFLOPs
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_64x128_32x2_nhwc_align1,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,128,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,1.76505,271.123,15137.1
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_128x64_32x2_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,64,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,1.27711,374.709,20920.4
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_128x64_32x2_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,64,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,1.28568,372.214,20781.1
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_128x64_32x2_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,64,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,1.50187,318.635,17789.7
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_128x64_32x2_nhwc_align1,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,64,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,2.15393,222.173,12404.2
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_64x64_32x2_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,64,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,1.27324,375.849,20984
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_64x64_32x2_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,64,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,1.29573,369.325,20619.8
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_64x64_32x2_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,64,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,1.4661,326.408,18223.7
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_64x64_32x2_nhwc_align1,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,64,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,2.16476,221.062,12342.1
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_64x128_64x2_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,64,128,64,2,1,2,2,16,8,8,75,1024,513835008,26717716480,1.28191,373.307,20842.1
